dateandtime,vehid,coord,gpscoord,spd,edge,lane,displacement,turnAngle,nextTLS,tflight,tl_state,tl_phase_duration,tl_lanes_controlled,tl_program,tl_next_switch
2025-04-03 23:53:59,veh0,"[8283.495647668393, 5352.204974093264]","[103.70963932612837, 1.3371187649982446]",0.0,637957161,637957161_2,0.0,193.99,"(('joinedS_13', 18, 35.72, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 446.15999999999997, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 697.1, 'G'), ('5220729634', 0, 1042.35, 'G'), ('joinedS_8', 22, 1226.34, 'G'), ('joinedS_8', 16, 1241.6799999999998, 'G'), ('joinedS_2', 22, 1877.59, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2854.07, 'G'), ('joinedS_10', 24, 3733.77, 'G'), ('joinedS_10', 7, 3744.5, 'G'), ('joinedS_10', 14, 3750.95, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3948.72, 'G'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4111.599999999999, 'g'))",,,,,,
2025-04-03 23:53:59,veh0,"[8282.971898638683, 5350.102442017159]","[103.70963462918826, 1.3370997452012972]",7.85,637957161,637957161_2,2.18,193.99,"(('joinedS_13', 18, 33.53834037264343, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 443.9783403726434, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 694.9183403726435, 'G'), ('5220729634', 0, 1040.1683403726433, 'G'), ('joinedS_8', 22, 1224.1583403726434, 'G'), ('joinedS_8', 16, 1239.4983403726433, 'G'), ('joinedS_2', 22, 1875.4083403726434, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2851.8883403726436, 'G'), ('joinedS_10', 24, 3731.5883403726434, 'G'), ('joinedS_10', 7, 3742.3183403726434, 'G'), ('joinedS_10', 14, 3748.7683403726433, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3946.5383403726432, 'G'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4109.418340372643, 'g'))",,,,,,
2025-04-03 23:53:59,veh1,"[3491.244540625802, 4261.019801312946]","[103.66657759928795, 1.327226052106821]",0.0,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,0.0,46.94,"(('cluster_4930303717_568238350', 1, 7698.920000000001, 'r'),)",,,,,,
2025-04-03 23:53:59,veh2,"[12489.892143091565, 3630.924650475878]","[103.74744985042673, 1.3215693375766724]",0.0,646226502,646226502_0,0.0,282.38,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 303.86, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 513.51, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3569.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3657.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 4052.9, 'G'))",,,,,,
2025-04-03 23:53:59,veh0,"[8281.866060675997, 5345.65645961725]","[103.70962471215189, 1.3370595262356508]",16.64,:6642371597_0,:6642371597_0_3,6.8,193.97,"(('joinedS_13', 18, 28.916223591733726, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 439.35622359173374, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 690.2962235917338, 'G'), ('5220729634', 0, 1035.546223591734, 'G'), ('joinedS_8', 22, 1219.536223591734, 'G'), ('joinedS_8', 16, 1234.8762235917338, 'G'), ('joinedS_2', 22, 1870.786223591734, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2847.266223591734, 'G'), ('joinedS_10', 24, 3726.966223591734, 'G'), ('joinedS_10', 7, 3737.696223591734, 'G'), ('joinedS_10', 14, 3744.146223591734, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3941.916223591734, 'G'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4104.796223591734, 'g'))",,,,,,
2025-04-03 23:53:59,veh1,"[3492.8904784359192, 4262.557874266575]","[103.66659238337269, 1.327239971693214]",8.09,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,2.25,46.94,"(('cluster_4930303717_568238350', 1, 7696.672258263413, 'r'),)",,,,,,
2025-04-03 23:53:59,veh2,"[12475.221975713817, 3634.144210699048]","[103.74731799562569, 1.3215983918660543]",54.0,646226502,646226502_0,15.0,282.38,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 288.86, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 498.51000000000005, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3554.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3642.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 4037.9, 'G'))",,,,,,
2025-04-03 23:53:59,veh0,"[8280.458250489597, 5339.8770283257145]","[103.70961208762446, 1.3370072448502717]",22.19,:6642371597_0,:6642371597_0_3,12.97,193.69,"(('joinedS_13', 18, 22.751496880762282, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 433.1914968807623, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 684.1314968807624, 'G'), ('5220729634', 0, 1029.3814968807624, 'G'), ('joinedS_8', 22, 1213.3714968807624, 'G'), ('joinedS_8', 16, 1228.7114968807623, 'G'), ('joinedS_2', 22, 1864.6214968807624, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2841.1014968807626, 'G'), ('joinedS_10', 24, 3720.8014968807624, 'G'), ('joinedS_10', 7, 3731.5314968807625, 'G'), ('joinedS_10', 14, 3737.9814968807623, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3935.7514968807623, 'G'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4098.631496880762, 'g'))",,,,,,
2025-04-03 23:53:59,veh1,"[3495.900350586772, 4265.370497514338]","[103.666619418541, 1.3272654259816499]",14.8,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,6.36,46.94,"(('cluster_4930303717_568238350', 1, 7692.561887134152, 'r'),)",,,,,,
2025-04-03 23:53:59,veh2,"[12460.562926829269, 3637.361792152704]","[103.74718624075837, 1.321627428298023]",54.0,:cluster_5166597569_8347561860_1,:cluster_5166597569_8347561860_1_0,30.0,282.38,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 273.86, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 483.51000000000005, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3539.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3627.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 4022.9, 'G'))",,,,,,
